,Date,Poll,Total voter,Yes,Yes(percent),No,No(percent),No comment,No comment(percent)
0,৭ ডিসেম্বর ২০২২,"দেশে আইনের শাসনের প্রতি সম্মান দেখাতে এবং সহিংসতা, হয়রানি ও ভয়ভীতি প্রদর্শন থেকে বিরত থাকতে সব রাজনৈতিক দলের প্রতি আহ্বান জানিয়েছেন মার্কিন পররাষ্ট্র দপ্তরের মুখপাত্র নেড প্রাইস। রাজনৈতিক দলগুলো তাঁর এ আহ্বানে সাড়া দেবে বলে আপনার কি মনে হয়?",ভোট দিয়েছেন ৪৬১০ জন,হ্যাঁ (৯২ জন),২%,না (৪৪৭২ জন),৯৭%,মন্তব্য নেই (৪৬ জন),১%
1,৬ ডিসেম্বর ২০২২,দেশের ৭৫ শতাংশ মাটিতে প্রয়োজনীয় জৈব ও রাসায়নিক উপাদানের ঘাটতি আছে। মাটির স্বাস্থ্য সুরক্ষায় সারের যৌক্তিক ব্যবহার নিশ্চিত করতে সরকার কার্যকর উদ্যোগ নেবে বলে মনে করেন কি?,ভোট দিয়েছেন ৩১১৭ জন,হ্যাঁ (১৫৬ জন),৫%,না (২৯৩০ জন),৯৪%,মন্তব্য নেই (৩১ জন),১%
2,৫ ডিসেম্বর ২০২২,নিত্যপণ্যের দামে স্বস্তির খবর না থাকলেও অক্টোবরের চেয়ে নভেম্বরে মূল্যস্ফীতি কমেছে—বিবিএসের এ হিসাবে আস্থা আছে কি?,ভোট দিয়েছেন ৪৫৮১ জন,হ্যাঁ (৩২১ জন),৭%,না (৪২১৫ জন),৯২%,মন্তব্য নেই (৪৬ জন),১%
3,৪ ডিসেম্বর ২০২২,আওয়ামী লীগ ও বিএনপির অর্থের উৎস প্রকাশ করা উচিত—গণস্বাস্থ্য কেন্দ্রের ট্রাস্টি জাফরুল্লাহ চৌধুরীর এ বক্তব্যর সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৫৪১২ জন,হ্যাঁ (৫৩০৪ জন),৯৮%,না (৫৪ জন),১%,মন্তব্য নেই (৫৪ জন),১%
4,৩ ডিসেম্বর ২০২২,"প্রবৃদ্ধি হচ্ছে, শিক্ষার হার বাড়ছে, কিন্তু দীর্ঘদিন ধরে চলা নাগরিক সমস্যাগুলোর সমাধান হচ্ছে না—সিপিডির চেয়ারম্যান অধ্যাপক রেহমান সোবহানের এই বক্তব্যের সঙ্গে আপনি কি একমত?",ভোট দিয়েছেন ৪৯৮৮ জন,হ্যাঁ (৪৮৩৮ জন),৯৭%,না (১০০ জন),২%,মন্তব্য নেই (৫০ জন),১%
5,২ ডিসেম্বর ২০২২,পুলিশ বাধা দিয়ে বিএনপির তিন ঘণ্টার সমাবেশকে তিন দিনের সমাবেশে পরিণত করছে—বিএনপির নেতা রুহুল কুদ্দুস তালুকদারের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৫৫৮৪ জন,হ্যাঁ (৫৩০৫ জন),৯৫%,না (২২৩ জন),৪%,মন্তব্য নেই (৫৬ জন),১%
6,১ ডিসেম্বর ২০২২,"গাইবান্ধা উপনির্বাচনে অনিয়মের জন্য কর্মকর্তাদের বিরুদ্ধে ব্যবস্থা নেবে ইসি, তবে প্রার্থীদের বিষয়ে কিছু হচ্ছে না। নির্বাচন কমিশনের এই ভূমিকায় আপনি কি সন্তুষ্ট?",ভোট দিয়েছেন ৩৪৯৩ জন,হ্যাঁ (১৭৫ জন),৫%,না (৩২৮৩ জন),৯৪%,মন্তব্য নেই (৩৫ জন),১%
7,৩০ নভেম্বর ২০২২,ইচ্ছেমতো দাম বাড়াতেই সরকার আইন সংশোধন করে গ্যাস ও বিদ্যুতের দাম নির্ধারণের ক্ষমতা নিজেদের হাতে নিতে চায়—অধ্যাপক ম তামিমের এই বক্তব্যের সঙ্গে আপনি কি একমত?,ভোট দিয়েছেন ৪৮৯৫ জন,হ্যাঁ (৪৬৫০ জন),৯৫%,না (১৯৬ জন),৪%,মন্তব্য নেই (৪৯ জন),১%
8,২৯ নভেম্বর ২০২২,সিন্ডিকেট করে কাগজের দাম বাড়িয়ে দেওয়া হচ্ছে অভিযোগ করে কাগজের আমদানি শুল্ক প্রত্যাহারসহ বাজার নিয়ন্ত্রণে সরকারের হস্তক্ষেপ দাবি করেছে বাংলাদেশ পুস্তক প্রকাশক ও বিক্রেতা সমিতি। আপনি কি তা সমর্থন করেন?,ভোট দিয়েছেন ৩৩৮৯ জন,হ্যাঁ (৩২৫৩ জন),৯৬%,না (১০২ জন),৩%,মন্তব্য নেই (৩৪ জন),১%
9,২৮ নভেম্বর ২০২২,বিশ্ববিদ্যালয়ে ভর্তিতে শিক্ষার্থীদের বয়সের বাধা তুলে দেওয়ার পক্ষে শিক্ষামন্ত্রী দীপু মনি। আপনি কি তা সমর্থন করেন?,ভোট দিয়েছেন ৫৪৫৮ জন,হ্যাঁ (৫০২১ জন),৯২%,না (৩৮২ জন),৭%,মন্তব্য নেই (৫৫ জন),১%
10,২৭ নভেম্বর ২০২২,"ওই দিন আমরাও মাঠে থাকব, আমরা তাঁদের কোনো বাধা দেব না—১০ ডিসেম্বর ঢাকায় বিএনপির সমাবেশ নিয়ে আওয়ামী লীগের সাধারণ সম্পাদক ওবায়দুল কাদেরের এই বক্তব্যে আপনি কি আস্থা রাখেন?",ভোট দিয়েছেন ২৩৫২০ জন,হ্যাঁ (১৮১১০ জন),৭৭%,না (৫৪১০ জন),২৩%,মন্তব্য নেই (০ জন),০%
